Name, Hubble Distance (Mly), RA, DEC, Velocity CMB (km/s), Redshift (Helio)
LEDA 2285407, 1076.0208266111122, 13h32m21.056s, +46d41m04.29s, 22367.863096818815, 0.074031
LEDA 2291430, 2309.6066725310225, 13h32m21.978s, +47d02m43.18s, 48011.1207711262, 0.159573
LEDA 2272306, 539.1295631084158, 13h32m27.026s, +45d54m34.57s, 11207.195958313108, 0.036792
LEDA 2287543, 1647.725615107545, 13h32m27.175s, +46d48m38.86s, 34252.218979742305, 0.113675
LEDA 91294, 1236.9714892803672, 13h32m27.770s, +45d49m08.60s, 25713.63698789359, 0.085179
LEDA 2275228, 1608.243396085468, 13h32m31.009s, +46d05m29.71s, 33431.479410392305, 0.110927
LEDA 2292718, 2549.6874790594475, 13h32m42.120s, +47d07m18.70s, 53001.818422875716, 0.176222
LEDA 2273085, 1235.4865863064856, 13h32m54.534s, +45d57m29.36s, 25682.76945669864, 0.085079
LEDA 2301491, 920.4792392326469, 13h33m02.240s, +47d37m37.43s, 19134.530761327882, 0.063261
LEDA 47718, 72.49094468336483, 13h33m14.750s, +45d50m13.90s, 1506.9109131868033, 0.004436
LEDA 2276566, 538.9461935327741, 13h33m22.248s, +46d10m07.66s, 11203.384149598405, 0.036785
LEDA 2275974, 1842.6451081291561, 13h33m27.076s, +46d08m01.59s, 38304.12246244735, 0.127183
LEDA 2301670, 902.2902823888458, 13h33m33.510s, +47d38m09.79s, 18756.42646585858, 0.062001
LEDA 2302775, 1280.2930016450905, 13h33m46.327s, +47d41m47.54s, 26614.18615363153, 0.088213
LEDA 2285048, 1655.6908564530972, 13h33m46.711s, +46d39m54.12s, 34417.79702762411, 0.114228
LEDA 2269607, 756.070239324861, 13h33m48.260s, +45d43m53.40s, 15716.866427260728, 0.051835
LEDA 47788, 25.31842729688628, 13h34m02.83s, +47d54m55.6s, 526.3086936589451, 0.001197
LEDA 2297415, 2315.8837940509297, 13h34m05.158s, +47d23m45.41s, 48141.60690236734, 0.160017
LEDA 2273200, 2657.3263807888115, 13h34m09.380s, +45d57m54.90s, 55239.37011168193, 0.183672
LEDA 2282638, 1648.4099441373153, 13h34m12.972s, +46d31m17.67s, 34266.44452043122, 0.113722
LEDA 2303083, 1285.1611708477967, 13h34m19.491s, +47d42m57.21s, 26715.383583611787, 0.088552
