RA	DEC	NAME	DIAMETER
167.655417	54.193333	LEDA 2462452 , 2040 Mly	0.45
167.662500	55.551667	LEDA 2506141 , 802 Mly	0.55
167.666250	55.158056	LEDA 2492506 , 847 Mly	0.44
167.671250	56.306944	LEDA 2532518 , 1320 Mly	0.47
167.740000	55.195278	LEDA 2493781 , 845 Mly	0.65
167.756250	55.149722	LEDA 2492212 , 846 Mly	0.35
167.775833	55.272778	LEDA 2496392 , 846 Mly	0.41
167.800000	55.603056	LEDA 2507972 , 845 Mly	0.66
167.802500	55.279167	LEDA 2496605 , 391 Mly	0.69
167.820417	55.113611	LEDA 2491013 , 1019 Mly	0.33
167.835000	54.767500	LEDA 2479663 , 2411 Mly	0.33
167.858750	55.595000	LEDA 2507703 , 1232 Mly	0.50
167.862917	56.506111	LEDA 213794 , 477 Mly	0.72
167.865417	54.083611	LEDA 2459292 , 1548 Mly	0.41
167.874167	54.798333	LEDA 2480670 , 719 Mly	0.36
167.875833	55.673333	LEDA 34030 , 42 Mly	17.60
167.897917	55.269444	LEDA 2496290 , 1530 Mly	0.41
167.898750	56.526667	LEDA 34029 , 155 Mly	2.60
167.902500	53.582222	LEDA 139538 , 2070 Mly	0.33
167.902917	54.988889	LEDA 2815950 , 1098 Mly	0.33
167.903333	54.517222	LEDA 2471965 , 1046 Mly	0.59
167.911667	53.604444	LEDA 2445730 , 1541 Mly	0.38
167.930000	55.110000	LEDA 2490901 , 1015 Mly	1.30
167.931250	53.988611	LEDA 34045 , 713 Mly	0.79
167.941250	53.533611	LEDA 2443726 , 1030 Mly	0.71
167.951667	55.083056	LEDA 2489976 , 392 Mly	1.19
167.966667	55.483611	LEDA 2503722 , 1037 Mly	0.51
167.967500	56.660556	LEDA 2543767 , 690 Mly	0.76
167.972500	55.754444	LEDA 2513272 , 804 Mly	0.50
167.981250	54.267500	LEDA 2815951 , 1036 Mly	0.53
167.985833	55.913056	LEDA 2518865 , 1027 Mly	0.39
168.033750	56.176944	LEDA 2528159 , 1019 Mly	0.45
168.051667	56.127222	LEDA 2526448 , 916 Mly	0.75
168.070417	55.400556	LEDA 2500674 , 2013 Mly	0.37
168.071667	56.582222	LEDA 2541321 , 654 Mly	0.77
168.076250	55.423889	LEDA 2501579 , 1278 Mly	0.53
