Custom Catalog
User defined catalog
Name;RA(deg);Dec(deg);PixelX;PixelY;Magnitude
SDSS J140557.24+545824.6;211.488528;54.973506;1573.683593;2949.425463;
SDSS J140602.13+535019.3;211.508907;53.838717;4493.080879;3494.762644;
SDSS J140602.83+534350.9;211.511811;53.730832;4770.370989;3548.173049;
SDSS J140604.83+535651.0;211.520138;53.947523;4209.644719;3462.398773;
SDSS J140609.52+550321.4;211.539687;55.055952;1347.845769;2987.575161;
SDSS J140610.33+550915.8;211.543050;55.154416;1093.179791;2947.707595;
SDSS J140613.50+530742.5;211.556269;53.128483;6311.026110;3890.525141;
SDSS J140616.09+533926.0;211.567042;53.657245;4945.154205;3665.946530;
SDSS J140617.08+540339.1;211.571202;54.060870;3903.878144;3488.128084;
SDSS J140617.85+531930.4;211.574382;53.325125;5799.171812;3828.761426;
SDSS J140618.85+543138.5;211.578551;54.527368;2699.835921;3286.272004;
SDSS J140619.25+530633.6;211.580239;53.109358;6353.773113;3936.332170;
SDSS J140619.33+550423.9;211.580582;55.073330;1292.374718;3040.002866;
SDSS J140621.72+534217.5;211.590520;53.704888;4816.026259;3680.027247;
SDSS J140622.08+530102.0;211.592034;53.017231;6588.042611;3996.706138;
SDSS J140624.61+531739.7;211.602552;53.294386;5870.717746;3886.187688;
SDSS J140628.70+541838.8;211.619611;54.310805;3246.921157;3446.860437;
SDSS J140629.07+534625.9;211.621163;53.773880;4629.952000;3695.160102;
SDSS J140629.19+533555.6;211.621632;53.598793;5080.998638;3776.092669;
SDSS J140629.45+543743.6;211.622727;54.628795;2426.777492;3305.857383;
SDSS J140630.77+532753.2;211.628224;53.464791;5424.528572;3847.604100;
SDSS J140633.46+534719.8;211.639418;53.788861;4586.407291;3716.083959;
SDSS J140633.75+534738.8;211.640652;53.794130;4572.497003;3715.544500;
SDSS J140636.21+540740.8;211.650915;54.128002;3709.510130;3577.851145;
SDSS J140638.09+540122.3;211.658742;54.022868;3978.264411;3637.973314;
SDSS J140638.28+533727.1;211.659515;53.624201;5005.220706;3822.342396;
SDSS J140641.55+532415.7;211.673158;53.404381;5567.919724;3944.325711;
